Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Listing ID,Listing Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing Keywords,Updated Date,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template
,,,,,,,,,,,,,,,,,Kens Gun Clinic,kenstorer@lycos.com,,41 Pleasure Dr.,,United States,USA,,,New York,NY,Harris,,,,12742,(845) 292-3606,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 218,gm218gs@gandermountain.com,,5005 Jonestown Road,,United States,USA,,,Pennsylvania,PA,Harrisburg,,,,17109,(717) 671-9700,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,"Mag-Na-Port International, Inc.",email@magnaport.com,,41302 Executive Drive,,United States,USA,,,Michigan,MI,Harrison Township,,,,48045,(586) 469-6727,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,Kerry's Gunsmithing & Firearm Sales,kerrysgunsmithing@yahoo.com,,5980 Deer Rd,,United States,USA,,,Wisconsin,WI,Hartford,,,,53027,(414) 550-7335,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,AMERICAN PRIDE FIREARMS,gunrnr@gmail.com,,109 CHRIS HOOVER CIRCLE,,United States,USA,,,Alabama,AL,Harvest,,,,35749,(256) 886-2227,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 320,gm320gs@gandermountain.com,,4501 Hardy Street,,United States,USA,,,Mississippi,MS,Hattiesburg,,,,39402,(601) 268-6845,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Mississippi,,,,,
,,,,,,,,,,,,,,,,,Tactical Gunsmith,duwain@a1armorer.com,,314 3rd Street,,United States,USA,,,Alabama,AL,Hayden,,,,35079,(205) 543-0237,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,Antique and Modern Firearms Repair & Restoration,info@a1armorer.com,,314 3rd Street,,United States,USA,,,Alabama,AL,Hayden,,,,35079,(205) 919-9390,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,Tennessee Gunsmith,TNGunsmith@hotmail.com,,1245 Latimer Lane,,United States,USA,,,Tennessee,TN,Hendersonville,,,,37075,(615) 838-4320,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Tennessee,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 490,gm490gs@gandermountain.com,,4275 Haines Road,,United States,USA,,,Minnesota,MN,Hermantown,,,,55811,(218) 786-9800,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,A H Gunsmithing,alex@columbusohiogunsmith.com,columbusohiogunsmith.com,5990 Coventry Bend Drive,,United States,USA,,,Ohio,OH,Hilliard,,,,43026,(614) 218-7496,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Ohio,,,,,
,,,,,,,,,,,,,,,,,Tornado Technologies,sales@tornado-technologies.com,,"Physical: 2020 NW Aloclek Drive Suite 106,",,United States,USA,,,Oregon,OR,Hillsboro,,,,97124,(503) 690-8000,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Oregon,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 191,gm191gs@gandermountain.com,,1321 HOLLAND-SYLVANIA RD.,,United States,USA,,,Ohio,OH,Holland,,,,43529,(419) 861-4800,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Ohio,,,,,
,,,,,,,,,,,,,,,,,All Broward Gunsmith,Gunsmith954@aol.com,,7224 Taft St.,,United States,USA,,,Florida,FL,Hollywood,,,,33024,(954) 961-3388,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 402,gm402gs@gandermountain.com,,19820 Hempstead Rd,,United States,USA,,,Texas,TX,Houston,,,,77065,(832) 237-7900,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 193,gm193gs@gandermountain.com,,8001 Old Troy Pike,,United States,USA,,,Ohio,OH,Huber Heights,,,,45424,(937) 236-9786,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Ohio,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 315,gm315gs@gandermountain.com,,3418 Memorial Parkway NW,,United States,USA,,,Alabama,AL,Huntsville,,,,35810,(256) 858-8045,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,Richard Kramer Custom Rifles,wmgwcustoms@hotmail.com,,600 East Avenue E,,United States,USA,,,Kansas,KS,Hutchinson,,,,67501,(620) 921-5555,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kansas,,,,,
,,,,,,,,,,,,,,,,,Foam Swabs for Guns,customerservice@swab-its.com,,800 worcester st,,United States,USA,,,Massachusetts,MA,Indian Orchard,,,,06082,(413) 543-1442,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Massachusetts,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 273,gm273gs@gandermountain.com,,5702 E. 86th Street,,United States,USA,,,Indiana,IN,Indianapolis,,,,46250,(317) 577-1114,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Indiana,,,,,
,,,,,,,,,,,,,,,,,New Centurion Arms,gary@newcenturionarms.com,,2991 East Thomas St.,,United States,USA,,,Florida,FL,Inverness,,,,34453,(352) 344-8742,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,"Rock Ridge Gunworks, LLC",info@rockridgegunworks.com,,3410 Rock Lane,,United States,USA,,,Alabama,AL,Irondale,,,,35210,(205) 572-0656,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 352,gm352gs@gandermountain.com,,13075 City Square Drive,,United States,USA,,,Florida,FL,Jacksonville,,,,32218,(904) 714-3557,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,Mike's Gun Works,mikesgunworks@yahoo.com,,1704 McArthur Dr,,United States,USA,,,Arkansas,AR,Jacksonville,,,,72076,(501) 952-8357,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Arkansas,,,,,
,,,,,,,,,,,,,,,,,Mike's Gun Works. Gunsmithing & Sales,mikesgunworks@yahoo.com,,1704 McArthur Dr,,United States,USA,,,Arkansas,AR,Jacksonville,,,,72076,(501) 952-8357,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Arkansas,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 155,gm155gs@gandermountain.com,,2900 DEERFIELD DR. #8,,United States,USA,,,Wisconsin,WI,Janesville,,,,53546,(608) 757-2010,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 259,gm259gs@gandermountain.com,,528 Harry L. Drive`,,United States,USA,,,New York,NY,Johnson City,,,,13790,(607) 798-8400,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 208,gm208gs@gandermountain.com,,600 Galleria Drive,,United States,USA,,,Pennsylvania,PA,Johnstown,,,,15904,(814) 266-1777,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 303,gm303gs@gandermountain.com,,3301 Essington Road,,United States,USA,,,Illinois,IL,Joliet,,,,60435,(815) 254-2264,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Illinois,,,,,
,,,,,,,,,,,,,,,,,McGowen Precision Barrels LLC,,,4051 Hwy. 93 South,,United States,USA,,,Montana,MT,Kalispell,,,,59901,,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Montana,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 111,gm111gs@gandermountain.com,,6801 120th Ave,,United States,USA,,,Wisconsin,WI,Kenosha,,,,53140,(262) 857-3757,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 172,gm172gs@gandermountain.com,,2890 ACQUEST AVE. SE,,United States,USA,,,Michigan,MI,Kentwood,,,,49512,(616) 975-1000,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,Strickland Firearm Service LLC,sfstrickland@yahoo.com,,1312 Richard Burnley Ave,,United States,USA,,,Kentucky,KY,Kevil,,,,42053,(270) 462-3345,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kentucky,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 256,gm256gs@gandermountain.com,,705 Frank Sottile Blvd,,United States,USA,,,New York,NY,Kingston,,,,12401,(845) 382-2500,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
,,,,,,,,,,,,,,,,,Heath's Firearm Service in NC,frankie@heathsfirearmservice.com,heathsfirearmservice.com,1854 Greene Haynes RD,,United States,USA,,,North Carolina,NC,Kinston,,,,28504,(252) 560-8361,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Carolina,,,,,
,,,,,,,,,,,,,,,,,Lee's Firearm Service,blee76@suddenlink.net,,330 Camellia St,,United States,USA,,,North Carolina,NC,Kinston,,,,28504,(252) 521-3316,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Carolina,,,,,
,,,,,,,,,,,,,,,,,DKN Gunsmithing,dkngunsmithing@hotmail.com,,921 Powell Road,,United States,USA,,,Missouri,MO,Kirbyville,,,,65679,(417) 332-7740,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Missouri,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 335,gm335gs@gandermountain.com,,11501 Parkside Drive,,United States,USA,,,Tennessee,TN,Knoxville,,,,37934,(865) 671-2790,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Tennessee,,,,,
,,,,,,,,,,,,,,,,,Lacombe Gunsmith & Machine LLC,gunsmith@lacombegunsmith.com,,26367 Hwy 190,,United States,USA,,,Louisiana,LA,Lacombe,,,,70445,(985) 882-7030,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Louisiana,,,,,
,,,,,,,,,,,,,,,,,Lacombe Gunsmith & Machine,Clinton@lacombegunsmith.com,,26367 Hwy 190,,United States,USA,,,Louisiana,LA,Lacombe,,,,70445,(985) 882-9397,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Louisiana,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 350,gm350gs@gandermountain.com,,3750 Flagg Lane,,United States,USA,,,Florida,FL,Lake Mary,,,,32746,(407) 804-0514,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,Shoot Straight Lakeland,dphelan@live.com,,720 Central Parke Cir apt 204,,United States,USA,,,Florida,FL,Lakeland,,,,33805,(815) 674-5836,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 483,gm483gs@gandermountain.com,,16861 Kenyon Ave,,United States,USA,,,Minnesota,MN,Lakeville,,,,55044,(952) 435-3805,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,Hemlock Gun Shop Inc,hemgun@verizon.net,,733 Purdytown Turnpike,,United States,USA,,,Pennsylvania,PA,Lakeville,,,,18438,(570) 226-9410,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,nichols gunsmithing,fixyourgun@gmail.com,,111C south campbell,,United States,USA,,,Kentucky,KY,Lancaster,,,,40444,(859) 792-8848,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kentucky,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 173,gm173gs@gandermountain.com,,430 N. MARKETPLACE BLVD.,,United States,USA,,,Michigan,MI,Lansing,,,,48917,(517) 622-5700,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,PAYNES GUNSMITHING,DONYABRANDON@YAHOO.COM,,PO BOX 1054,,United States,USA,,,Texas,TX,Latexo,,,,75849,(936) 404-2064,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,K&D Arms,kdarms211@gmail.com,,106 N Paw Paw St PO Box 106,,United States,USA,,,Michigan,MI,Lawrence,,,,49064,(269) 674-3700,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,Doc's Gunsmithing Shop,ccalmbacher@earthlink.net,,366 Rockland Way,,United States,USA,,,Georgia,GA,Lawrenceville,,,,30046,(678) 822-2188,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Georgia,,,,,
,,,,,,,,,,,,,,,,,gunsbysteve,stemmorris@yahoo.com,,2525 st. christopher 1114,,United States,USA,,,Texas,TX,League City,,,,77573,(832) 472-9797,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,CGM Gunstock Checkering,cymeier@att.net,,1113 S.E. 2nd Terrace,,United States,USA,,,Missouri,MO,Lees Summit,,,,64063,(816) 525-2318,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Missouri,,,,,
,,,,,,,,,,,,,,,,,Rock Creek Armory,kenhdoherty@aol.com,,1230 Powell Lane,,United States,USA,,,Tennessee,TN,Lewisburg,,,,37091,(931) 698-3577,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Tennessee,,,,,
,,,,,,,,,,,,,,,,,Texas Armory,sales@texas-armory.com,,330 Still Forest Drive,,United States,USA,,,Texas,TX,Liberty,,,,77575,(281) 684-0750,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,BB Gunsmith,brad@bbondy.com,bbondy.com,2931 S St.,,United States,USA,,,Nebraska,NE,Lincoln,,,,68503,(402) 617-4116,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Nebraska,,,,,
,,,,,,,,,,,,,,,,,GWM Gunworks,bmurray@wispwest.net,,67 Salmon Fly Road,,United States,USA,,,Montana,MT,Livingston,,,,59047,(406) 223-9386,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Montana,,,,,
,,,,,,,,,,,,,,,,,Michael Dickson - Gunsmith,mkdickson@gmail.com,,7890 Spring St,,United States,USA,,,California,CA,Long Beach,,,,90815,(562) 448-2715,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,BWE Firearms,richard@bwefirearms.com,bwefirearms.com,145 Sheridan Ave.,,United States,USA,,,Florida,FL,Longwood,,,,32750,(407) 592-3975,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,Rick's Place,rick@ricksplace.biz,,34 Helen Drive,,United States,USA,,,Arkansas,AR,Lonoke,,,,72086,(501) 658-7347,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Arkansas,,,,,
,,,,,,,,,,,,,,,,,"Apex Tactical Specialties, Inc.",apextactical@sbcglobal.net,,715-D Santa Maria Ave,,United States,USA,,,California,CA,Los Osos,,,,93402,(805) 528-5250,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 412,gm412gs@gandermountain.com,,4006 W Loop 289,,United States,USA,,,Texas,TX,Lubbock,,,,79407,(806) 785-1591,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,R and J Coating,randjperformancecoatings@suddenlink.net,,11840 University ave,,United States,USA,,,Texas,TX,Lubbock,,,,79423,(806) 535-3864,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,"FireRidge Gunsmith, LLC.",fireridgegunsmith@gmail.com,,1670 Lucas North Rd.,,United States,USA,,,Ohio,OH,Lucas,,,,44843,(419) 892-2899,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Ohio,,,,,
,,,,,,,,,,,,,,,,,Bullz-i Sports,manleytiz@msn.com,,18178 Hwy 98,,United States,USA,,,Mississippi,MS,Lucedale,,,,39452,(601) 947-1739,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Mississippi,,,,,
,,,,,,,,,,,,,,,,,Perfect Pistol NJ,copabeat@comcast.net,,655 Ten Eyck Ave,,United States,USA,,,New Jersey,NJ,Lyndhurst,,,,07071,(201) 460-8943,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New Jersey,,,,,
,,,,,,,,,,,,,,,,,Watson Arms,kwatson804@gmail.com,,157 Timber Ridge Dr.,,United States,USA,,,Tennessee,TN,Madisonville,,,,37354,(423) 404-1054,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Tennessee,,,,,
,,,,,,,,,,,,,,,,,Colliers Custom Rifles,colliers_customs@msn.com,,3724 NE Collins Dr,,United States,USA,,,Oregon,OR,Madras,,,,97741,(541) 610-4454,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Oregon,,,,,
,,,,,,,,,,,,,,,,,Gunsmith Needed,hatfieldsgunsmithing@yahoo.com,,8898 Mathis Avenue,,United States,USA,,,Virginia,VA,Manassas,,,,20110,(703) 369-4867,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Virginia,,,,,
,,,,,,,,,,,,,,,,,Hatfields Gunsmiffin' Inc.,hatfieldsgunsmithing@yahoo.com,,9015 Church Street,,United States,USA,,,Virginia,VA,Manassas,,,,20110,,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Virginia,,,,,
,,,,,,,,,,,,,,,,,W.A.R. Rifles,druatwalts@msn.com,,8391-C Euclid Ave,,United States,USA,,,Virginia,VA,Manassas,,,,20111,(703) 367-0078,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Virginia,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 481,gm481gs@gandermountain.com,,1940 Adams St.,,United States,USA,,,Minnesota,MN,Mankato,,,,56001,(507) 345-3600,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,Bayou Gunsmith,snujac4@nexband.com,,7425 Hwy. 371 N,,United States,USA,,,Mississippi,MS,Mantachie,,,,38855,(662) 891-3372,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Mississippi,,,,,
,,,,,,,,,,,,,,,,,ROCK CREEK ARMS,,,31731 ROCK CREEK RD. P.O. BOX 561,,United States,USA,,,California,CA,Manton,,,,96059,(530) 474-5668,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 491,gm491gs@gandermountain.com,,8030 WEDGEWOOD LANE,,United States,USA,,,Minnesota,MN,Maple Grove,,,,55369,(763) 420-9800,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,Inner Chamber Guns - Chris Williamson,Sales@innerchamberguns.com,,12055 93rd,,United States,USA,,,Minnesota,MN,Maple Grove,,,,55369,(763) 269-6914,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,"Aztek Arms, Inc.",info@aztekarms.com,aztekarms.com,1641 W. Alvey Drive Unit 1,,United States,USA,,,Utah,UT,Mapleton,,,,84664,(801) 704-9460,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Utah,,,,,
,,,,,,,,,,,,,,,,,Bubba's Hunt Shop,bubba@bubbashuntshop.com,bubbashuntshop.com,5030 Township Road 21,,United States,USA,,,Ohio,OH,Marengo,,,,43334,(740) 803-0275,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Ohio,,,,,
,,,,,,,,,,,,,,,,,Precision Rifles & Gunsmithing,jim@precisionrifles.co,,3605 Blackwell Run,,United States,USA,,,Georgia,GA,Marietta,,,,30066,(770) 876-2351,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Georgia,,,,,
,,,,,,,,,,,,,,,,,canyon sports,canyon@canyon-sports.com,canyon-sports.com,887 #f howe rd,,United States,USA,,,California,CA,Martinez,,,,94553,(925) 229-4867,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,Great Shotgun Ammo,roger_gunsmith@yahoo.com,,4753 Pea Ridge Rd,,United States,USA,,,Tennessee,TN,Maryville,,,,37804,(865) 980-5998,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Tennessee,,,,,
,,,,,,,,,,,,,,,,,Gunner Roger,gunner@rogersgunsmithing.com,,4753 Pea Ridge Rd,,United States,USA,,,Tennessee,TN,Maryville,,,,37804,(865) 980-5998,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Tennessee,,,,,
,,,,,,,,,,,,,,,,,KC's Kustom Creations,kc@kcskustom.com,,816 Main St,,United States,USA,,,North Carolina,NC,Maysville,,,,28555-9901,(843) 267-3773,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Carolina,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 305,gm305gs@gandermountain.com,,9620 Diamond Center Dr,,United States,USA,,,Ohio,OH,Mentor,,,,44060,(440) 639-8545,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Ohio,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 185,gm185gs@gandermountain.com,,1630 SOUTHLAKE MALL,,United States,USA,,,Indiana,IN,Merrillville,,,,46410,(219) 793-1700,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Indiana,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 250,gm250gs@gandermountain.com,,100 N Galleria Drive,,United States,USA,,,New York,NY,Middletown,,,,10941,(845) 692-5600,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
